time,hs_300,zz_500,sz_bond,sw_gold,nh_goods,us_spx,hk_hsi
2010/4/12,3351.478,4976.38,116.098,9277.7,1399.5688,1196.48,22138.17
2010/4/13,3391.716,4919.873,116.094,9184.5,1396.6961,1197.3,22103.5293
2010/4/14,3403.707,4977.508,116.135,9581.78,1400.4267,1210.65,22121.4297
2010/4/15,3394.574,4914.747,116.098,9573.39,1398.887,1211.67,22157.8203
2010/4/16,3356.332,4898.67,116.177,9455.82,1398.6756,1192.13,21865.2598
2010/4/19,3176.423,4688.836,116.237,9171.2,1369.2679,1197.52,21405.1699
2010/4/20,3173.374,4749.934,116.381,9376.11,1382.1275,1207.17,21623.3809
2010/4/21,3236.679,4893.978,116.483,9482.99,1382.6209,1205.94,21510.9297
2010/4/22,3201.541,4902.405,116.498,9572.11,1378.8834,1208.67,21454.9395
2010/4/23,3190.003,4864.164,116.629,9261.59,1379.9106,1217.28,21244.4902
2010/4/26,3171.997,4866.553,116.821,9234.11,1383.8974,1212.05,21587.0605
2010/4/27,3108.409,4739.269,116.94,9062.25,1372.9845,1183.71,21261.7891
2010/4/28,3097.353,4714.432,117.019,9267.78,1355.523,1191.36,20949.4004
2010/4/29,3060.064,4561.4,117.042,9061.7,1355.2193,1206.78,20778.9199
2010/4/30,3067.365,4438.681,117.029,8931.6,1359.8753,1186.69,21108.5898
2010/5/4,3019.449,4434.131,116.934,9160.04,1348.5109,1173.6,20763.0508
2010/5/5,3036.394,4564.807,116.918,9208.79,1340.4545,1165.9,20327.5391
2010/5/6,2896.856,4419.781,117.009,9039.34,1328.5682,1128.15,20133.4102
